,QLD_QQQ_SMA200,QQQ_BH,SPY_BH
2017-01-03,2034.6059808162495,2017.3238292880988,2014.4822592324406
2017-01-04,2056.046642843709,2028.512135703329,2026.8956242888175
2017-01-05,2078.991912732744,2039.3395290083913,2025.2405089479676
2017-01-06,2115.4786533759634,2056.66335829649,2033.4126409434155
2017-01-09,2129.7724280609364,2064.4229901651183,2026.895624288817
2017-01-10,2139.176227195787,2069.1148605973117,2026.4818454536048
2017-01-11,2148.956178296032,2074.528557249843,2031.447191476156
2017-01-12,2142.5615948843333,2071.4607958134084,2027.102513706424
2017-01-13,2157.9838254654883,2078.8595145718673,2031.550636184959
2017-01-17,2144.4423547113033,2072.182622033746,2024.7232854039514
2017-01-18,2154.222305811548,2076.5135793557706,2028.8610737560773
2017-01-19,2151.213090088396,2075.430840025265,2022.2406123926762
2017-01-20,2160.240737257852,2079.9422539023735,2028.8610737560773
2017-01-23,2163.249952981004,2081.746819453217,2023.68883831592
2017-01-24,2192.9659582471313,2095.822430749797,2036.5159822075104
2017-01-25,2236.5995862328377,2116.7553911395835,2053.998137995242
2017-01-26,2239.9849539213837,2118.9208698005955,2052.0326885279824
2017-01-27,2248.6364491254467,2123.071370567536,2048.929347263888
2017-01-30,2215.158924205379,2106.830280609943,2036.51598220751
2017-01-31,2205.7551250705287,2102.3188667328345,2035.688424537085
2017-02-01,2235.8472823020497,2116.935847694668,2036.9297610427225
2017-02-02,2231.7096106827157,2115.131282143824,2038.067652839557
2017-02-03,2243.3703216099307,2121.0863484616084,2052.1361332367846
2017-02-06,2249.3887530562347,2123.6127402327893,2048.825902555084
2017-02-07,2265.5632875681777,2131.3723721014167,2048.722457846281
2017-02-08,2274.21478277224,2134.801046648019,2051.2051308575565
2017-02-09,2290.0131653187887,2142.9215916268154,2063.1012723699178
2017-02-10,2304.683091969155,2149.778940720021,2071.2734043653663
2017-02-13,2331.0137295467366,2161.869529910673,2081.92820937209
2017-02-14,2345.6836561971036,2169.0877921140473,2091.13478845557
2017-02-15,2372.766597705473,2181.900207525037,2101.7895934622943
2017-02-16,2372.014293774685,2181.3588378597838,2100.4448122478534
2017-02-17,2392.702651871356,2190.7425787241705,2103.1343746767348
2017-02-21,2415.2717697949975,2201.7504285843165,2115.6511844419156
2017-02-22,2417.528681587361,2202.111341694485,2114.3064032274747
2017-02-23,2400.2256911792365,2194.171253270773,2115.6511844419156
2017-02-24,2407.3725785217225,2198.3217540377136,2118.5476362884037
2017-02-27,2414.1433138988145,2201.028602363979,2121.4440881348924
2017-02-28,2399.0972352830536,2194.1712532707734,2116.1684079859315
2017-03-01,2451.006206507428,2218.3524316520784,2145.132926450812
2017-03-02,2426.5563287568166,2207.344581791932,2132.305782559222
2017-03-03,2435.207823960879,2211.1341694487037,2133.4436743560564
2017-03-06,2424.6755689298466,2206.2618424614266,2127.6507706630805
2017-03-07,2414.895617829602,2202.4722548046548,2120.6165304644665
2017-03-08,2423.9232649990586,2206.0813859063423,2116.9959656563565
2017-03-09,2426.9324807222106,2208.06640801227,2119.064859832419
2017-03-10,2447.996990784276,2217.4501488766573,2126.5128788662455
2017-03-13,2455.520030092156,2221.0592799783444,2127.754215371883
2017-03-14,2442.7308632687595,2215.465126770729,2120.0993069204505
2017-03-15,2473.1991724656755,2229.1798249571407,2137.478017999379
2017-03-16,2471.3184126387055,2227.91662907155,2133.9608979000723
2017-03-17,2466.4284370885835,2226.1120635207067,2130.7541119271746
2017-03-20,2471.6945646041,2229.1798249571407,2127.5473259542773
2017-03-21,2398.344931352266,2195.2539926012805,2100.755146374263
2017-03-22,2429.9416964453635,2210.051430118198,2105.0998241439947
2017-03-23,2417.904833552755,2204.637733465667,2102.30681700631
2017-03-24,2425.4278728606355,2208.9686907876917,2101.7895934622948
2017-03-27,2435.2078239608795,2212.7582784444635,2099.1000310334125
2017-03-28,2464.1715252962194,2226.472976630875,2114.2029585186715
2017-03-29,2486.3644912544664,2236.3980871605154,2116.8925209475533
2017-03-30,2494.263682527741,2240.187674817287,2123.3060928933483
2017-03-31,2491.630618769983,2238.383109266443,2118.030412744388
2017-04-03,2487.869099116043,2237.480826491021,2115.2374056067024
2017-04-04,2495.015986458529,2240.909501037624,2116.5821868211438
2017-04-05,2475.832236223434,2231.7062167283216,2109.754836040136
2017-04-06,2478.0891480157975,2232.9694126139116,2115.237405606703
2017-04-07,2474.3276283618575,2231.886673283406,2113.3754008482465
2017-04-10,2478.0891480157975,2232.608499503743,2114.513292645081
2017-04-11,2456.6484859883385,2223.044302084272,2112.134064342609
2017-04-12,2436.336279857062,2214.0214743300535,2104.1688217647666
2017-04-13,2415.6479217603905,2205.17910313092,2089.9968966587353
2017-04-17,2455.143878126763,2223.585671749525,2107.9962759904824
2017-04-18,2448.7492947150645,2220.156997202922,2101.68614875349
2017-04-19,2454.767726161369,2223.766128304609,2098.2724733629866
2017-04-20,2493.8875305623474,2242.3531534782987,2114.6167373538833
2017-04-21,2495.0159864585294,2241.811783813045,2108.203165408089
2017-04-24,2555.2003009215728,2268.8802670757,2131.27133547119
2017-04-25,2592.063193530187,2285.3018135883767,2143.4778111099613
2017-04-26,2584.9163061877007,2282.053595596858,2142.753698148339
2017-04-27,2615.0084634192226,2295.7682937832697,2144.201924071583
2017-04-28,2624.412262554073,2299.738337995125,2139.9606910106545
2017-05-01,2668.798194470567,2320.3103852747427,2144.5122581979927
2017-05-02,2679.3304495015996,2324.099972931514,2145.650149994827
2017-05-03,2662.027459093475,2316.701254173055,2143.4778111099613
2017-05-04,2663.908218920445,2317.603536948477,2145.443260577221
2017-05-05,2683.09196915554,2326.084995037442,2153.9257266990785
2017-05-08,2694.752680082755,2331.1377785798036,2153.8222819902753
2017-05-09,2713.560278352456,2339.2583235586,2151.7533878142126
2017-05-10,2716.193342110214,2340.5215194441907,2155.580842039929
2017-05-11,2711.679518525486,2338.716953893347,2151.960277231819
2017-05-12,2724.0925333834884,2343.9501939907937,2148.236267714906
2017-05-15,2740.6432198608254,2351.348912749253,2158.89107272163
2017-05-16,2764.340793680649,2361.2740232788924,2157.649736215992
2017-05-17,2622.531502727104,2301.1819904358,2120.2027516292537
2017-05-18,2667.2935866089924,2321.2126680501638,2127.65077066308
