label,start,end,years,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,max_drawdown_pct,calmar,best_month_pct,worst_month_pct,pct_months_positive,n_rebalances,avg_annual_turnover,exposure_pct,group,switches
BENCH SPY buy&hold,2017-01-03,2026-07-01,9.47,282.95,15.24,18.0,0.882,1.065,-33.79,0.451,12.93,-12.61,69.6,0,,,benchmark,
BENCH QQQ buy&hold,2017-01-03,2026-07-01,9.47,548.69,21.83,22.85,0.983,1.257,-35.0,0.624,15.69,-13.6,65.2,0,,,benchmark,
BENCH TQQQ buy&hold,2017-01-03,2026-07-01,9.47,2900.0,43.22,67.6,0.878,1.121,-81.66,0.529,52.45,-38.13,60.9,0,,,benchmark,
ROT sector top3 6mo,2017-01-03,2026-07-01,9.47,164.2,10.81,18.21,0.66,0.815,-29.41,0.367,12.8,-9.58,61.7,115,7.25,,rotation,
ROT sector top3 12-1,2017-01-03,2026-07-01,9.47,266.15,14.69,18.66,0.828,1.009,-32.72,0.449,11.72,-10.12,67.0,113,5.25,,rotation,
ROT asset top1 12mo dualIEF,2017-01-03,2026-07-01,9.47,389.4,18.26,21.02,0.904,1.129,-31.46,0.58,12.27,-11.05,60.9,114,5.18,,rotation,
ROT asset top3 6mo dualIEF,2017-01-03,2026-07-01,9.47,178.15,11.41,13.8,0.857,1.06,-22.61,0.505,10.15,-7.51,63.5,115,5.98,,rotation,
TREND QLD/QQQ>SMA150,2017-01-03,2026-07-01,9.47,1484.12,33.88,32.98,1.057,1.217,-40.46,0.837,22.61,-21.99,66.1,0,,,trend_full,48.0
TREND QLD/QQQ>SMA175,2017-01-03,2026-07-01,9.47,1695.9,35.67,33.27,1.091,1.253,-40.45,0.882,22.61,-24.18,67.8,0,,,trend_full,36.0
TREND QLD/QQQ>SMA200,2017-01-03,2026-07-01,9.47,1191.83,31.03,33.68,0.978,1.124,-42.3,0.734,22.61,-26.13,67.8,0,,,trend_full,40.0
TREND QLD/QQQ>SMA225,2017-01-03,2026-07-01,9.47,964.44,28.38,34.01,0.912,1.049,-44.85,0.633,27.84,-25.73,67.8,0,,,trend_full,44.0
TREND TQQQ/QQQ>SMA150,2017-01-03,2026-07-01,9.47,3957.54,47.86,49.08,1.051,1.211,-55.03,0.87,35.16,-31.04,63.5,0,,,trend_full,48.0
TREND TQQQ/QQQ>SMA175,2017-01-03,2026-07-01,9.47,4710.4,50.54,49.5,1.083,1.245,-55.02,0.919,35.16,-34.21,64.3,0,,,trend_full,36.0
TREND TQQQ/QQQ>SMA200,2017-01-03,2026-07-01,9.47,2815.01,42.79,50.11,0.971,1.116,-56.7,0.755,35.16,-36.88,64.3,0,,,trend_full,40.0
TREND TQQQ/QQQ>SMA225,2017-01-03,2026-07-01,9.47,2087.13,38.52,50.61,0.906,1.043,-59.45,0.648,43.95,-36.88,64.3,0,,,trend_full,44.0
TREND SSO/SPY>SMA150,2017-01-03,2026-07-01,9.47,321.69,16.42,23.95,0.762,0.843,-43.2,0.38,22.72,-17.49,66.1,0,,,trend_full,62.0
TREND SSO/SPY>SMA175,2017-01-03,2026-07-01,9.47,284.23,15.28,23.97,0.721,0.799,-41.83,0.365,22.72,-17.49,64.3,0,,,trend_full,60.0
TREND SSO/SPY>SMA200,2017-01-03,2026-07-01,9.47,379.2,18.0,24.08,0.815,0.909,-38.17,0.471,22.72,-17.49,67.0,0,,,trend_full,50.0
TREND SSO/SPY>SMA225,2017-01-03,2026-07-01,9.47,399.68,18.52,24.35,0.827,0.931,-37.19,0.498,22.72,-16.83,68.7,0,,,trend_full,48.0
TREND UPRO/SPY>SMA150,2017-01-03,2026-07-01,9.47,579.94,22.44,35.82,0.753,0.836,-58.71,0.382,35.32,-24.71,65.2,0,,,trend_full,62.0
TREND UPRO/SPY>SMA175,2017-01-03,2026-07-01,9.47,489.98,20.62,35.85,0.711,0.791,-55.92,0.369,35.32,-24.71,63.5,0,,,trend_full,60.0
TREND UPRO/SPY>SMA200,2017-01-03,2026-07-01,9.47,712.33,24.76,36.03,0.803,0.898,-51.81,0.478,35.32,-24.71,65.2,0,,,trend_full,50.0
TREND UPRO/SPY>SMA225,2017-01-03,2026-07-01,9.47,760.04,25.52,36.42,0.815,0.919,-49.55,0.515,35.32,-24.22,67.0,0,,,trend_full,48.0
OOS-TRAIN QLD/QQQ>SMA200,2017-01-03,2020-12-31,4.0,232.06,35.03,35.89,1.031,1.108,-42.3,0.828,22.61,-26.13,70.8,0,,,oos,20.0
OOS-TEST QLD/QQQ>SMA200,2021-01-04,2026-07-01,5.47,300.27,28.85,31.99,0.937,1.158,-39.06,0.739,21.81,-17.75,65.7,0,,,oos,20.0
OOS-TRAIN QLD/QQQ>SMA175,2017-01-03,2020-12-31,4.0,275.39,39.24,35.6,1.123,1.203,-40.45,0.97,22.61,-24.18,70.8,0,,,oos,16.0
OOS-TEST QLD/QQQ>SMA175,2021-01-04,2026-07-01,5.47,392.23,33.81,31.47,1.067,1.323,-28.39,1.191,21.81,-15.54,65.7,0,,,oos,20.0
OOS-TRAIN TQQQ/QQQ>SMA200,2017-01-03,2020-12-31,4.0,402.62,49.79,53.42,1.041,1.125,-56.7,0.878,35.16,-36.88,68.8,0,,,oos,20.0
