label,timeframe,commission_scenario,slippage_scenario,n_bars,n_days,span_days,init_cash,leverage,reference_price,max_shares_1x,max_shares_2x,net_profit,total_return_pct,annualized_return_pct,final_value,gross_return_pct,sharpe,sortino,calmar,max_drawdown_pct,max_dd_duration_days,total_trades,trades_per_month,win_rate_pct,profit_factor,avg_win,avg_loss,expectancy,largest_win,largest_loss,avg_hold_days,exposure_pct,best_day_pct,worst_day_pct,window,two_x_ann_return_pct,two_x_max_drawdown_pct,two_x_margin_call
H0_buy_and_hold,1Day,tiered_mid,full_spread,2638,2638,3830,2000.0,1.0,391.65,5,10,5419.56,270.978,13.317295160112508,7419.56,270.9894378248446,0.798659741068896,0.9687721014311171,0.38961495145012703,-34.18065736580748,745,1,0.0,100.0,,5419.5614216382955,,5419.5614216382955,5419.5614216382955,5419.5614216382955,3830.9583333333335,100.0,10.501933612632918,-10.782753515914145,full_2016_2026,20.634590320225016,-68.36131473161495,True
H1_sma_trend200,1Day,tiered_mid,full_spread,2638,2638,3830,2000.0,1.0,391.65,5,10,3078.73,153.936,9.294127620886261,5078.73,154.39596416420775,0.8411846147435422,0.906099857607065,0.4135768606743321,-22.47255227415842,882,30,0.2,43.333333333333336,4.065566783475058,314.0787524585095,-59.07610975751888,102.62433053609342,1116.5226506184117,-118.10426971195811,96.8013888888889,75.77710386656558,4.235618090994464,-5.748675673134185,full_2016_2026,12.588255241772522,-44.94510454831684,False
H2_sma_trend50,1Day,tiered_mid,full_spread,2638,2638,3830,2000.0,1.0,391.65,5,10,2075.36,103.768,7.023927448519052,4075.36,104.76295490409126,0.6853676726872961,0.7253962192317377,0.3252528594130684,-21.595282701569495,921,80,0.6,48.75,2.104944188083878,101.37441769941145,-45.81086980784889,25.941957851940526,534.7724097710353,-129.26241311747063,34.5,71.60727824109173,5.492183686981278,-5.748675673134185,full_2016_2026,8.047854897038103,-43.19056540313899,False
H3_ma_cross20_100,1Day,tiered_mid,full_spread,2638,2638,3830,2000.0,1.0,391.65,5,10,2245.57,112.279,7.4423778483911684,4245.57,112.44139562640427,0.6530526142618918,0.6701625260956375,0.3402759395482703,-21.87159591204485,889,13,0.1,69.23076923076923,3.7852954507489014,339.0888323095204,-201.5562279413289,172.73650607848984,1051.7719368704345,-380.6018620138302,223.375,75.92873388931008,4.375361899247254,-7.0974683118717135,full_2016_2026,8.884755696782337,-43.7431918240897,False
H4_rsi2_meanrev,1Day,tiered_mid,full_spread,2638,2638,3830,2000.0,1.0,391.65,5,10,705.16,35.258,2.922053502606947,2705.16,35.95608844848717,0.5111294200227072,0.24163833930340203,0.1792281221287603,-16.303543595171398,1399,84,0.7,76.19047619047619,1.918810603697754,23.00988649200734,-38.373582380943404,8.394774855590498,83.68094513066436,-131.64112181625183,4.905257936507937,10.576194086429112,4.273561976775597,-4.463913224864424,full_2016_2026,-0.15589299478610563,-32.607087190342796,False
H5_donchian20_10,1Day,tiered_mid,full_spread,2638,2638,3830,2000.0,1.0,391.65,5,10,2592.23,129.612,8.24962389719268,4592.23,130.2951835791003,0.8697820165678989,0.8320462699669002,0.7280158940264599,-11.331653559877974,697,49,0.4,55.10204081632652,3.170888239577615,140.2342416164107,-54.27679790711283,52.90275448340014,574.5250921787125,-182.17487341382903,45.267006802721085,57.9226686884003,5.495416031860589,-5.748675673134185,full_2016_2026,10.499247794385361,-22.66330711975595,False
H6_dip_buy3,1Day,tiered_mid,full_spread,2638,2638,3830,2000.0,1.0,391.65,5,10,69.87,3.493,0.3279865371407009,2069.87,4.052863995883673,0.1018932223255223,0.035845643927381377,0.020645697809346608,-15.886435041794355,2924,88,0.7,57.95454545454546,1.0967543996663311,15.52848800509063,-19.51588443286552,0.7939223209499762,52.47397261170999,-92.2868540110678,2.5454545454545454,5.534495830174375,4.273561976775575,-4.463913224864413,full_2016_2026,-5.344026925718598,-31.77287008358871,False
H7_overnight_hold,15Min,tiered_mid,full_spread,9724,374,545,2000.0,1.0,647.41,3,6,213.67,10.684,7.039427763971418,2213.67,12.226748090883438,0.6508260968569874,0.745575470563369,0.4149759577380966,-16.96345928651174,272,374,20.9,57.48663101604278,1.126863915494462,8.827564352634683,-10.592799589513351,0.5713133718819066,52.92968595636115,-77.45366835749495,1.19738747771836,3.8461538461538463,2.9962766353377246,-4.283469249638083,full_2016_2026,8.078855527942835,-33.92691857302348,False
H0_buy_and_hold,1Day,tiered_mid,full_spread,374,374,544,2000.0,1.0,647.49,3,6,551.13,27.556,17.75254385427747,2551.13,27.55883962780515,1.0073008623269937,1.3261305357448996,0.9343981712840095,-18.998906889856915,126,1,0.1,100.0,,551.1295119277088,,551.1295119277088,551.1295119277088,551.1295119277088,544.9583333333334,100.0,10.501933612632941,-5.854294764300361,focus_2025_2026,29.50508770855494,-37.99781377971383,False
H1_sma_trend200,1Day,tiered_mid,full_spread,374,374,544,2000.0,1.0,647.49,3,6,119.34,5.967,3.967991338815513,2119.34,5.972781953166054,0.5130786936453695,0.4691250570510788,0.5825432016317188,-6.811497117640486,97,2,0.1,50.0,2.761126744366998,187.0999901534633,-67.76218822086594,59.66890096629868,187.0999901534633,-67.76218822086594,116.5,43.04812834224599,1.91847938372538,-2.580934895454967,focus_2025_2026,1.935982677631026,-13.622994235280972,False
H2_sma_trend50,1Day,tiered_mid,full_spread,374,374,544,2000.0,1.0,647.49,3,6,509.02,25.451,16.44382773756121,2509.02,25.490283107784034,1.6240723568149429,1.8701975273741924,3.074444327744453,-5.3485527739658645,182,9,0.5,55.55555555555556,8.753887302768511,114.93229407616286,-16.41160808064868,56.55722645091329,329.2241291164982,-41.221934798610256,40.11574074074074,66.31016042780749,3.304745366268569,-2.702783240955964,focus_2025_2026,26.887655475122422,-10.697105547931729,False
H3_ma_cross20_100,1Day,tiered_mid,full_spread,374,374,544,2000.0,1.0,647.49,3,6,376.13,18.807,12.26627280762691,2376.13,18.813283941940938,1.2861012888717094,1.3895731293482507,2.4187358764298885,-5.07135687164496,104,2,0.1,100.0,,188.06678181379803,,188.06678181379803,267.6220726091354,108.51149101846067,177.5,65.24064171122996,1.9184793837254022,-2.702783240955964,focus_2025_2026,18.53254561525382,-10.14271374328992,False
H4_rsi2_meanrev,1Day,tiered_mid,full_spread,374,374,544,2000.0,1.0,647.49,3,6,75.9,3.795,2.5322633085889112,2075.9,3.8294310344197355,0.6473318125285992,0.26430678819596404,0.45899153990567015,-5.517015213634069,132,9,0.5,88.88888888888889,2.030632857774462,18.692021971361413,-73.64018325537211,8.432888057279909,45.191431184997306,-73.64018325537211,4.99537037037037,8.02139037433155,1.6996815681733723,-1.5765551862153115,focus_2025_2026,-0.9354733828221775,-11.034030427268139,False
H5_donchian20_10,1Day,tiered_mid,full_spread,374,374,544,2000.0,1.0,647.49,3,6,260.56,13.028,8.569944324778422,2260.56,13.055112959793973,0.9541981465374343,0.9764641724199676,1.0469434109575924,-8.185680558359765,217,7,0.4,42.857142857142854,2.3810361479379325,149.74190653054956,-47.16704111996527,37.222507873112505,232.72609161556272,-73.74980552945235,42.00595238095239,54.278074866310156,3.304745366268569,-2.7027832409559527,focus_2025_2026,11.139888649556845,-16.37136111671953,False
H6_dip_buy3,1Day,tiered_mid,full_spread,374,374,544,2000.0,1.0,647.49,3,6,31.51,1.576,1.0552180333060823,2031.51,1.6095738598039704,0.5128303671029767,0.1355195717334573,0.6906422843792747,-1.5278792758171122,44,9,0.5,66.66666666666666,1.5731257035276798,14.416541902214568,-18.328531368963045,3.5015174784886964,26.98722350851506,-22.949298404275194,2.5555555555555554,3.4759358288770055,1.0176810762656752,-1.5260542709612634,focus_2025_2026,-3.8895639333878353,-3.0557585516342245,False
H7_overnight_hold,15Min,tiered_mid,full_spread,9724,374,545,2000.0,1.0,647.41,3,6,213.67,10.684,7.039427763971418,2213.67,12.226748090883438,0.6508260968569874,0.745575470563369,0.4149759577380966,-16.96345928651174,272,374,20.9,57.48663101604278,1.126863915494462,8.827564352634683,-10.592799589513351,0.5713133718819066,52.92968595636115,-77.45366835749495,1.19738747771836,3.8461538461538463,2.9962766353377246,-4.283469249638083,focus_2025_2026,8.078855527942835,-33.92691857302348,False
